affiliation,keyword,ratio of articles that used this word
left_wing,battl,0.001
left_wing,utla,0.001
left_wing,member,0.001
left_wing,contract,0.001
left_wing,won,0.001
left_wing,district,0.001
left_wing,la,0.001
left_wing,rug,0.001
left_wing,bundl,0.003
left_wing,led,0.001
left_wing,gear,0.001
left_wing,prep,0.001
left_wing,light,0.004
left_wing,armi,0.001
left_wing,adventur,0.001
left_wing,flashlight,0.001
left_wing,tactic,0.001
left_wing,ultim,0.001
left_wing,berni,0.001
left_wing,sourc,0.001
left_wing,poll,0.003
left_wing,voter,0.001
left_wing,bid,0.001
left_wing,immin,0.001
left_wing,told,0.001
left_wing,2016,0.003
left_wing,sander,0.001
left_wing,announc,0.001
left_wing,report,0.001
left_wing,presidenti,0.001
left_wing,play,0.003
left_wing,conspiraci,0.001
left_wing,mainstream,0.001
left_wing,roger,0.001
left_wing,coverag,0.001
left_wing,expos,0.001
left_wing,dictat,0.001
left_wing,cia,0.001
left_wing,name,0.001
left_wing,number,0.001
left_wing,robert,0.001
left_wing,signific,0.001
left_wing,soon,0.001
left_wing,familiar,0.001
left_wing,director,0.001
left_wing,averag,0.001
left_wing,quit,0.001
left_wing,brennan,0.001
left_wing,financi,0.004
left_wing,dimon,0.001
left_wing,privat,0.001
left_wing,critic,0.001
left_wing,wall,0.003
left_wing,get,0.001
left_wing,street,0.001
left_wing,bank,0.001
left_wing,hold,0.001
left_wing,cnbc,0.001
left_wing,billionair,0.001
left_wing,nervou,0.001
left_wing,maxin,0.001
left_wing,x,0.001
left_wing,middleag,0.001
left_wing,album,0.001
left_wing,seen,0.001
left_wing,syndrom,0.001
left_wing,exist,0.001
left_wing,gener,0.001
left_wing,entir,0.001
left_wing,xer,0.001
left_wing,world,0.003
left_wing,gen,0.001
left_wing,sound,0.006
left_wing,middl,0.001
left_wing,feel,0.001
left_wing,weezer,0.001
left_wing,middlechild,0.001
left_wing,bombshel,0.001
left_wing,victim,0.001
left_wing,met,0.001
left_wing,singer,0.003
left_wing,atlant,0.001
left_wing,alleg,0.001
left_wing,abus,0.001
left_wing,bryan,0.001
left_wing,boy,0.001
left_wing,harvey,0.001
left_wing,echo,0.001
left_wing,sexual,0.001
left_wing,kelli,0.001
left_wing,r,0.001
left_wing,weinstein,0.001
left_wing,drive,0.003
left_wing,use,0.004
left_wing,devic,0.003
left_wing,alert,0.001
left_wing,stop,0.001
left_wing,distract,0.001
left_wing,ridi,0.001
left_wing,stay,0.004
left_wing,detect,0.001
left_wing,access,0.003
left_wing,fantom,0.001
left_wing,card,0.003
left_wing,featur,0.001
left_wing,slim,0.001
left_wing,ultraslim,0.001
left_wing,wallet,0.001
left_wing,credit,0.001
left_wing,quick,0.001
left_wing,rfidprotect,0.001
left_wing,upgrad,0.001
left_wing,earbud,0.004
left_wing,charg,0.004
left_wing,marketplac,0.004
left_wing,iphon,0.001
left_wing,xs,0.001
left_wing,wireless,0.006
left_wing,accessori,0.003
left_wing,brew,0.001
left_wing,kit,0.004
left_wing,holiday,0.003
left_wing,cheer,0.001
left_wing,craft,0.001
left_wing,oktoberfest,0.001
left_wing,spend,0.001
left_wing,indulg,0.001
left_wing,beer,0.001
left_wing,cider,0.001
left_wing,homebrew,0.001
left_wing,youv,0.001
left_wing,engin,0.001
left_wing,track,0.001
left_wing,mind,0.001
left_wing,pro,0.001
left_wing,iawak,0.001
left_wing,playlist,0.001
left_wing,help,0.006
left_wing,driver,0.003
left_wing,headphon,0.003
left_wing,plu,0.001
left_wing,audio,0.003
left_wing,tripl,0.001
left_wing,1more,0.001
left_wing,immers,0.001
left_wing,design,0.004
left_wing,deliv,0.004
left_wing,showcas,0.001
left_wing,master,0.001
left_wing,spreadsheet,0.001
left_wing,crunch,0.001
left_wing,data,0.003
left_wing,excel,0.001
left_wing,masterclass,0.003
left_wing,lesson,0.001
left_wing,microsoft,0.001
left_wing,layer,0.001
left_wing,stand,0.003
left_wing,doubl,0.001
left_wing,innov,0.001
left_wing,swisstek,0.001
left_wing,winter,0.004
left_wing,weather,0.003
left_wing,thank,0.001
left_wing,system,0.001
left_wing,umbrella,0.003
